id,team1,team2,match,date,score1,score2,venue
cacf2d34-41b8-41dd-91ed-5183d880084c,Kolkata Knight Riders,Royal Challengers Bengaluru,1st Match,22-03-25,174/8 (20),177/3 (16.2),"Eden Gardens, Kolkata"
91b007f3-c0af-493f-808a-3f4ae2d66e33,Sunrisers Hyderabad,Rajasthan Royals,2nd Match,23-03-25,286/6 (20),242/6 (20),"Rajiv Gandhi International Stadium, Hyderabad"
208d68e5-3fab-4f3b-88e9-29ec4a02d3e2,Chennai Super Kings,Mumbai Indians,3rd Match,23-03-25,155/9 (20),158/6 (19.1),"MA Chidambaram Stadium, Chennai"
c6e97609-d9c1-46eb-805a-e282b34f3bb1,Delhi Capitals,Lucknow Super Giants,4th Match,24-03-25,209/8 (20),211/9 (19.3),"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam"
83d70527-5fc4-4fad-8dd2-b88b385f379e,Gujarat Titans,Punjab Kings,5th Match,25-03-25,243/5 (20),232/5 (20),"Narendra Modi Stadium, Ahmedabad"
fd459f45-6e79-42c5-84e4-d046f291cacf,Rajasthan Royals,Kolkata Knight Riders,6th Match,26-03-25,151/9 (20),153/2 (17.3,"Barsapara Cricket Stadium, Guwahati"
ab4e0813-1e78-467e-aca0-d80c5cfe7dbd,Sunrisers Hyderabad,Lucknow Super Giants,7th Match,27-03-25,190/9 (20),193/5 (16.1,"Rajiv Gandhi International Stadium, Hyderabad"
7431523f-7ccb-4a4a-aed7-5c42fc08464c,Chennai Super Kings,Royal Challengers Bengaluru,8th Match,28-03-25,196/7 (20),146/8 (20),"MA Chidambaram Stadium, Chennai"
f5ed540f-15c7-4189-a5d4-e54be746a522,Gujarat Titans,Mumbai Indians,9th Match,29-03-25,None,None,"Narendra Modi Stadium, Ahmedabad"
af5cf1dd-b3d4-4e8d-8660-e5e27cd5202e,Delhi Capitals,Sunrisers Hyderabad,10th Match,30-03-25,None,None,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam"
057ce3fb-8117-47fe-bf25-be0ed8a56dd0,Rajasthan Royals,Chennai Super Kings,11th Match,30-03-25,None,None,"Barsapara Cricket Stadium, Guwahati"
075649ef-6ca8-4f50-8143-87814b828ea0,Mumbai Indians,Kolkata Knight Riders,12th Match,31-03-25,None,None,"Wankhede Stadium, Mumbai"
7896feec-8fd6-44ef-aee3-eabb679e6305,Lucknow Super Giants,Punjab Kings,13th Match,01-04-25,None,None,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
64e88ffc-606f-4d4f-b848-310f1ec7a98a,Royal Challengers Bengaluru,Gujarat Titans,14th Match,02-04-25,None,None,"M.Chinnaswamy Stadium, Bengaluru"
d5915da0-c08b-4122-bcb0-2c2e1e6e168a,Kolkata Knight Riders,Sunrisers Hyderabad,15th Match,03-04-25,None,None,"Eden Gardens, Kolkata"
5dc7a22f-5057-4895-bb98-965d9a1f004e,Lucknow Super Giants,Mumbai Indians,16th Match,04-04-25,None,None,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
f5dabb5b-a934-4666-a368-7134e991f569,Chennai Super Kings,Delhi Capitals,17th Match,05-04-25,None,None,"MA Chidambaram Stadium, Chennai"
