Player Name,Team,Fantasy Points
Quinton de Kock,Kolkata Knight Riders,5
Sunil Narine,Kolkata Knight Riders,69
Ajinkya Rahane,Kolkata Knight Riders,84
Venkatesh Iyer,Kolkata Knight Riders,7
Angkrish Raghuvanshi,Kolkata Knight Riders,40
Rinku Singh,Kolkata Knight Riders,21
Andre Russell,Kolkata Knight Riders,7
Ramandeep Singh ,Kolkata Knight Riders,12
Harshit Rana,Kolkata Knight Riders,4
Spencer Johnson,Kolkata Knight Riders,3
Josh Hazlewood,Royal Challengers Bengaluru,12
Yash Dayal,Royal Challengers Bengaluru,4
Rasikh Dar Salam,Royal Challengers Bengaluru,4
Krunal Pandya,Royal Challengers Bengaluru,16
Suyash Sharma,Royal Challengers Bengaluru,-1
Liam Livingstone,Royal Challengers Bengaluru,25
Jitesh Sharma,Royal Challengers Bengaluru,36
Philip Salt,Royal Challengers Bengaluru,83
Virat Kohli,Royal Challengers Bengaluru,81
Devdutt Padikkal,Royal Challengers Bengaluru,11
Rajat Patidar,Royal Challengers Bengaluru,51
Vaibhav Arora,Kolkata Knight Riders,-4
Varun Chakaravarthy,Kolkata Knight Riders,2
